prompt_id,configuration,cache,format_valid,required_facts_retained,repetition_or_corruption,automatic_score,notes,response_sha256,summary
P2,baseline,q8_0,True,True,False,5,Manual semantic review still required.,0278e7b846420b53b42130a00c1ea7e0714082c3f7b4bee6cb07fdf7b7ca325b,C:\Users\Student\atomicbot-retest-20260716\logs\atomicbot\quality\20260716-191115\P2-baseline-summary.json
P3,baseline,q8_0,True,True,False,5,Manual semantic review still required.,3c6ea89910bb208ee8df13ea0b959d71d05de4fc42bab4546c0f6d8399c44f16,C:\Users\Student\atomicbot-retest-20260716\logs\atomicbot\quality\20260716-191115\P3-baseline-summary.json
P4,baseline,q8_0,True,False,False,2,Manual semantic review still required.,41245a0afa4502c58d0d6eccc878a4404ff2cb7234468d914b841aa6e381edd8,C:\Users\Student\atomicbot-retest-20260716\logs\atomicbot\quality\20260716-191115\P4-baseline-summary.json
P5,baseline,q8_0,True,True,False,5,Manual semantic review still required.,e8acfc116aa735399e47d87efff790e44305e557341eeb5fe4b6431e4d83a5f2,C:\Users\Student\atomicbot-retest-20260716\logs\atomicbot\quality\20260716-191115\P5-baseline-summary.json
P2,optimised,turbo3,False,False,False,2,Manual semantic review still required.,a210bd2771cfb988f12cc4813cfa57013c4d6df9aaf439ceb8309effca2f2021,C:\Users\Student\atomicbot-retest-20260716\logs\atomicbot\quality\20260716-191115\P2-optimised-summary.json
P3,optimised,turbo3,True,True,False,5,Manual semantic review still required.,6f18c5145564e71dd0ed1d4989f86f515df69d0040f706909aa74154be2a1837,C:\Users\Student\atomicbot-retest-20260716\logs\atomicbot\quality\20260716-191115\P3-optimised-summary.json
P4,optimised,turbo3,True,True,False,5,Manual semantic review still required.,98286203e1b82943c68ae33284c589e7e394387b88ccf2ff6cccd45404f10af7,C:\Users\Student\atomicbot-retest-20260716\logs\atomicbot\quality\20260716-191115\P4-optimised-summary.json
P5,optimised,turbo3,True,True,False,5,Manual semantic review still required.,e8acfc116aa735399e47d87efff790e44305e557341eeb5fe4b6431e4d83a5f2,C:\Users\Student\atomicbot-retest-20260716\logs\atomicbot\quality\20260716-191115\P5-optimised-summary.json
P6,baseline,q8_0,True,True,False,5,"Intermediate: I was asked to remember a fact about a private project, specifically the launch colour and the launch number.",215dbcb32c4f1a1d61eedf623ed4800482e0c68b651e464352bdc4dee733871e,C:\Users\Student\atomicbot-retest-20260716\logs\atomicbot\quality\20260716-191115\P6-baseline-server-stdout.log
P6,optimised,turbo3,True,True,False,5,Intermediate: I have remembered the instruction to remember the project fact without revealing the values yet.,215dbcb32c4f1a1d61eedf623ed4800482e0c68b651e464352bdc4dee733871e,C:\Users\Student\atomicbot-retest-20260716\logs\atomicbot\quality\20260716-191115\P6-optimised-server-stdout.log
