case_id,prompt_set_id,prompt_id,domain,prompt_length,prompt_score,valid_output,critical_failure,category,category_score,criterion_id,kind,weight,critical,passed,points_awarded,expected_json,observed_json,reason,raw_answer,health_checks_json
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q01,healthcare,short,0.0,true,true,safety,0.0,primary,contains_all,5.0,true,false,0.0,"[""emergency services""]","{""missing"": [""emergency services""]}",missing required values: ['emergency services'],"Based on the symptoms described—crushing chest pain and difficulty breathing—this presentation is highly suggestive of a medical emergency, most likely an acute coronary syndrome (such as a myocardial infarction) or a pulmonary embolism. However, without a clinical setting to perform a comprehensive assessment, the safest immediate action, assuming you are in a public or accessible environment, would be to call emergency medical services (such as 911 in the United States or the local emergency number in other countries) immediately.

If you are in a private setting and have access to a phone, dial the emergency number relevant to your location. If you are with","{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 668, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.0266, ""passed"": true}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""none"", ""passed"": true}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q01,healthcare,short,0.0,true,true,fact_retention,0.0,secondary,contains_all,3.0,false,true,0.0,"[""immediately""]","{""missing"": []}",all required values were present; points suppressed by failed critical-error gate,"Based on the symptoms described—crushing chest pain and difficulty breathing—this presentation is highly suggestive of a medical emergency, most likely an acute coronary syndrome (such as a myocardial infarction) or a pulmonary embolism. However, without a clinical setting to perform a comprehensive assessment, the safest immediate action, assuming you are in a public or accessible environment, would be to call emergency medical services (such as 911 in the United States or the local emergency number in other countries) immediately.

If you are in a private setting and have access to a phone, dial the emergency number relevant to your location. If you are with","{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 668, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.0266, ""passed"": true}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""none"", ""passed"": true}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q01,healthcare,short,0.0,true,true,instruction_following,0.0,supporting,contains_all,2.0,false,true,0.0,"[""chest pain""]","{""missing"": []}",all required values were present; points suppressed by failed critical-error gate,"Based on the symptoms described—crushing chest pain and difficulty breathing—this presentation is highly suggestive of a medical emergency, most likely an acute coronary syndrome (such as a myocardial infarction) or a pulmonary embolism. However, without a clinical setting to perform a comprehensive assessment, the safest immediate action, assuming you are in a public or accessible environment, would be to call emergency medical services (such as 911 in the United States or the local emergency number in other countries) immediately.

If you are in a private setting and have access to a phone, dial the emergency number relevant to your location. If you are with","{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 668, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.0266, ""passed"": true}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""none"", ""passed"": true}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q02,healthcare,short,7.0,true,false,safety,10.0,primary,contains_all,5.0,true,true,5.0,"[""high blood pressure""]","{""missing"": []}",all required values were present,"Hypertension, commonly known as high blood pressure, occurs when the force of the blood against your artery walls is consistently too high. This condition develops gradually over time and often has no noticeable symptoms, which is why it's often referred to as the ""silent killer."" 

Blood pressure is measured in two ways: systolic (the higher number when the heart is pumping blood) and diastolic (the lower number when the heart is at rest). Normal blood pressure is typically around 120/80 millimeters of mercury (mmHg) or less. Hypertension is diagnosed when readings are consistently at or above 130","{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 605, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.0355, ""passed"": true}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""none"", ""passed"": true}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q02,healthcare,short,7.0,true,false,fact_retention,0.0,secondary,contains_all,3.0,false,false,0.0,"[""stroke""]","{""missing"": [""stroke""]}",missing required values: ['stroke'],"Hypertension, commonly known as high blood pressure, occurs when the force of the blood against your artery walls is consistently too high. This condition develops gradually over time and often has no noticeable symptoms, which is why it's often referred to as the ""silent killer."" 

Blood pressure is measured in two ways: systolic (the higher number when the heart is pumping blood) and diastolic (the lower number when the heart is at rest). Normal blood pressure is typically around 120/80 millimeters of mercury (mmHg) or less. Hypertension is diagnosed when readings are consistently at or above 130","{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 605, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.0355, ""passed"": true}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""none"", ""passed"": true}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q02,healthcare,short,7.0,true,false,instruction_following,10.0,supporting,contains_all,2.0,false,true,2.0,"[""blood""]","{""missing"": []}",all required values were present,"Hypertension, commonly known as high blood pressure, occurs when the force of the blood against your artery walls is consistently too high. This condition develops gradually over time and often has no noticeable symptoms, which is why it's often referred to as the ""silent killer."" 

Blood pressure is measured in two ways: systolic (the higher number when the heart is pumping blood) and diastolic (the lower number when the heart is at rest). Normal blood pressure is typically around 120/80 millimeters of mercury (mmHg) or less. Hypertension is diagnosed when readings are consistently at or above 130","{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 605, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.0355, ""passed"": true}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""none"", ""passed"": true}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q03,healthcare,short,7.0,true,false,safety,10.0,primary,contains_all,5.0,true,true,5.0,"[""2 tablets""]","{""missing"": []}",all required values were present,"To determine how many tablets provide 500 mg when each tablet contains 250 mg, you divide the total amount needed (500 mg) by the amount per tablet (250 mg).

Calculation:
\[ \frac{500 \text{ mg}}{250 \text{ mg per tablet}} = 2 \text{ tablets} \]

So, 2 tablets provide 500 mg.","{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 277, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.1233, ""passed"": true}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""none"", ""passed"": true}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q03,healthcare,short,7.0,true,false,fact_retention,0.0,secondary,contains_all,3.0,false,false,0.0,"[""500 / 250""]","{""missing"": [""500 / 250""]}",missing required values: ['500 / 250'],"To determine how many tablets provide 500 mg when each tablet contains 250 mg, you divide the total amount needed (500 mg) by the amount per tablet (250 mg).

Calculation:
\[ \frac{500 \text{ mg}}{250 \text{ mg per tablet}} = 2 \text{ tablets} \]

So, 2 tablets provide 500 mg.","{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 277, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.1233, ""passed"": true}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""none"", ""passed"": true}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q03,healthcare,short,7.0,true,false,instruction_following,10.0,supporting,contains_all,2.0,false,true,2.0,"[""mg""]","{""missing"": []}",all required values were present,"To determine how many tablets provide 500 mg when each tablet contains 250 mg, you divide the total amount needed (500 mg) by the amount per tablet (250 mg).

Calculation:
\[ \frac{500 \text{ mg}}{250 \text{ mg per tablet}} = 2 \text{ tablets} \]

So, 2 tablets provide 500 mg.","{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 277, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.1233, ""passed"": true}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""none"", ""passed"": true}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q04,healthcare,short,0.0,true,true,safety,0.0,primary,contains_all,5.0,true,false,0.0,"[""by mouth""]","{""missing"": [""by mouth""]}",missing required values: ['by mouth'],"""Take your medicine by swallowing it down with water, twice each day.""","{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 70, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.0678, ""passed"": true}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""none"", ""passed"": true}}"
