case_id,model,weight_precision,cache_codec,key_cache_codec,value_cache_codec,status,executed,failure_stage,failure_reason,model_path,model_sha256,model_size_bytes,fork_url,fork_branch,fork_commit,context_tokens,max_new_tokens,load_ms,ttft_ms,prompt_tps,tpot_ms,decode_tps,generation_duration_ms,peak_working_set_mb,peak_private_mb,available_ram_min_mb,kv_mb,quality_score,quality_prompt_count,raw_result_path,raw_result_sha256
granite-3b__int4__tbq3,granite-3b,int4,tbq3,tbq3,tbq3,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1723.0,5937.23291,,56.203629,17.792446,7679.960938,3632.773,1911.199,6709.723,,5.2083,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int4__tbq3.json,a766b4ce3d4c1ba952e0ecf66568257ee28c779f7031332977e207875a0dca18
granite-3b__int8__tbq3,granite-3b,int8,tbq3,tbq3,tbq3,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1807.0,1042.16748,,102.076691,9.796556,4207.030762,6639.477,3423.484,3852.73,,5.75,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int8__tbq3.json,39d9aff18ec6589dce59598e0f1ba14ce8c65c86ea79dba2a7eb74ce17f321c7
granite-3b__fp16__tbq3,granite-3b,fp16,tbq3,tbq3,tbq3,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-3b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-3b__int4__polar3,granite-3b,int4,polar3,polar3,polar3,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1527.0,5553.71582,,62.172913,16.084175,7481.577148,3632.387,1910.762,6708.422,,0.8958,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int4__polar3.json,9d6ad5885078c8fa9e098cb625e06395038a92fb07c7bdd233b88e26b5d1d6af
granite-3b__int8__polar3,granite-3b,int8,polar3,polar3,polar3,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1790.0,1000.142029,,99.274406,10.07309,4078.124023,6639.219,3423.055,3801.184,,2.2292,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int8__polar3.json,451007ed27736e4fa8b0f0cf4c9f6945ffac97e1fe273bb2d4560627354330a9
granite-3b__fp16__polar3,granite-3b,fp16,polar3,polar3,polar3,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-3b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-3b__int4__tbq3_qjl,granite-3b,int4,tbq3_qjl,tbq3_qjl,tbq3_qjl,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1557.0,5502.022949,,60.927917,16.412837,7391.307129,3631.738,1910.672,6543.703,,2.8333,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int4__tbq3_qjl.json,98f65445635ec1a712292aeae3b5d5293e4673b01a02f1750980bc1d51b00463
granite-3b__int8__tbq3_qjl,granite-3b,int8,tbq3_qjl,tbq3_qjl,tbq3_qjl,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1864.0,1164.085327,,98.115639,10.192055,4206.130859,6638.684,3422.648,3517.453,,4.5833,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int8__tbq3_qjl.json,17765ec1deb524dde72cdf66d744ddab39b32672e66d1f8b6dc9a5a990d50fb6
granite-3b__fp16__tbq3_qjl,granite-3b,fp16,tbq3_qjl,tbq3_qjl,tbq3_qjl,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-3b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-3b__int4__u4,granite-3b,int4,u4,u4,u4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1716.0,5915.463379,,58.42709,17.115348,7727.207031,3632.902,1910.629,6572.207,,5.6667,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int4__u4.json,1ab6f38f86d71f54c8871567a4999aa39ab39fc83796e6c0e2cd0acf9c5f2805
