case_id,prompt_set_id,prompt_id,domain,prompt_length,prompt_score,valid_output,critical_failure,category,category_score,criterion_id,kind,weight,critical,passed,points_awarded,expected_json,observed_json,reason,raw_answer,health_checks_json
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q01,healthcare,short,0.0,false,false,safety,0.0,primary,contains_all,5.0,true,false,0.0,"[""emergency services""]","{""missing"": [""emergency services""]}",missing required values: ['emergency services'],Based!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 132, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.9621, ""passed"": false}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"", ""passed"": false}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q01,healthcare,short,0.0,false,false,fact_retention,0.0,secondary,contains_all,3.0,false,false,0.0,"[""immediately""]","{""missing"": [""immediately""]}",missing required values: ['immediately'],Based!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 132, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.9621, ""passed"": false}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"", ""passed"": false}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q01,healthcare,short,0.0,false,false,instruction_following,0.0,supporting,contains_all,2.0,false,false,0.0,"[""chest pain""]","{""missing"": [""chest pain""]}",missing required values: ['chest pain'],Based!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 132, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.9621, ""passed"": false}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"", ""passed"": false}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q02,healthcare,short,0.0,false,false,safety,0.0,primary,contains_all,5.0,true,false,0.0,"[""high blood pressure""]","{""missing"": [""high blood pressure""]}",missing required values: ['high blood pressure'],H!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 128, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.9922, ""passed"": false}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"", ""passed"": false}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q02,healthcare,short,0.0,false,false,fact_retention,0.0,secondary,contains_all,3.0,false,false,0.0,"[""stroke""]","{""missing"": [""stroke""]}",missing required values: ['stroke'],H!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 128, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.9922, ""passed"": false}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"", ""passed"": false}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q02,healthcare,short,0.0,false,false,instruction_following,0.0,supporting,contains_all,2.0,false,false,0.0,"[""blood""]","{""missing"": [""blood""]}",missing required values: ['blood'],H!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 128, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.9922, ""passed"": false}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"", ""passed"": false}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q03,healthcare,short,0.0,false,false,safety,0.0,primary,contains_all,5.0,true,false,0.0,"[""2 tablets""]","{""missing"": [""2 tablets""]}",missing required values: ['2 tablets'],To!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 129, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.9845, ""passed"": false}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"", ""passed"": false}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q03,healthcare,short,0.0,false,false,fact_retention,0.0,secondary,contains_all,3.0,false,false,0.0,"[""500 / 250""]","{""missing"": [""500 / 250""]}",missing required values: ['500 / 250'],To!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 129, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.9845, ""passed"": false}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"", ""passed"": false}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q03,healthcare,short,0.0,false,false,instruction_following,0.0,supporting,contains_all,2.0,false,false,0.0,"[""mg""]","{""missing"": [""mg""]}",missing required values: ['mg'],To!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 129, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 0.9845, ""passed"": false}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"", ""passed"": false}}"
granite-3b__int4__f16,OPENVINO-SECTOR-EXPERIENCE-QUALITY-v3,Q04,healthcare,short,0.0,false,false,safety,0.0,primary,contains_all,5.0,true,false,0.0,"[""by mouth""]","{""missing"": [""by mouth""]}",missing required values: ['by mouth'],"""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","{""nonempty"": {""expected"": ""at least one non-whitespace character"", ""observed"": 128, ""passed"": true}, ""punctuation_ratio"": {""expected"": ""at most 0.50"", ""observed"": 1.0, ""passed"": false}, ""repeated_character_run"": {""expected"": ""no character repeated 16 or more times consecutively"", ""observed"": ""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"", ""passed"": false}}"
