Requirement ID,Category,Priority,Release Role,Lifecycle,Requirement,Acceptance Criteria,Verification Method,Test/Evidence ID,Work Package(s),Status,Planned Evidence Path,Notes / Next Action
F-M01,Functional,Must,Core,Active,The application must open on the target Windows 11 x64 Intel computer.,Clean checkout builds; release build launches twice on the target laptop without fatal error.,Clean-build test and release demo,AC-F-M01,IM-01; FR-04,Partially Verified,docs/evidence/requirements/F-M01/,ModelImportPage and release packaging still need completion.
F-M02,Functional,Must,Core,Active,The application must let the user select a supported local model.,A user selects a valid GGUF file with the Windows picker; cancel returns safely; path is retained for inspection.,Picker integration test and UI test,AC-F-M02,IM-02,In Progress,docs/evidence/requirements/F-M02/,
F-M03,Functional,Must,Core,Active,The application must validate a selected input before using it.,"Missing, empty, wrong-type, truncated and corrupt fixtures are rejected with a classified reason; valid fixture proceeds.",Automated validation matrix,AC-F-M03,IM-03; IM-04,Not Started,docs/evidence/requirements/F-M03/,
F-M04,Functional,Must,Core,Active,The application must show the correct inspection result state.,"Fixtures produce Ready, Ready with warnings, Conversion required, Unsupported, and Invalid or incomplete.",State-decision table test and UI state test,AC-F-M04,IM-06; IM-07,Not Started,docs/evidence/requirements/F-M04/,
F-M05,Functional,Must,Core,Active,The application must display the model details needed for compatibility and memory checks.,"For a verified Granite GGUF, the app displays format, architecture/name where available, file size, weight type, context information, tokenizer/chat-template information or explicit missing-data warnings.",Real-model inspection test and fixture tests,AC-F-M05,IM-05,Not Started,docs/evidence/requirements/F-M05/,
F-M06,Usability,Must,Core,Active,The application must show plain-English reasons for warnings or failures.,Every tested failure code maps to a non-technical explanation and a valid recovery action; no raw exception is the only user message.,Failure-message tests and task-based usability test,AC-F-M06,IM-07; RT-05; FR-02,Not Started,docs/evidence/requirements/F-M06/,
F-M07,Functional,Must,Core,Active,The application must read the hardware information needed for fit analysis.,"The app records CPU details, installed and available RAM, available GPU/device information, disk space and runtime availability with clear units; values are cross-checked against trusted Windows tools.",Hardware service unit/integration test,AC-F-M07,HE-01; HE-02,Not Started,docs/evidence/requirements/F-M07/,
F-M08,Functional,Must,Core,Active,The application must estimate peak memory for a supported configuration.,"The estimate shows weights, KV cache, runtime/app overhead, OS allowance and safety reserve; matched measured error is recorded.",Formula/unit tests and predicted-versus-measured calibration,AC-F-M08,HE-03; HE-04,Not Started,docs/evidence/requirements/F-M08/,
F-M09,Functional,Must,Core,Active,"The application must show whether a configuration is likely to fit, needs optimisation, or has no verified safe option.",Boundary tests change the result at documented thresholds and show the limiting reason and uncertainty.,Boundary and UI decision tests,AC-F-M09,HE-07,Not Started,docs/evidence/requirements/F-M09/,
F-M10,Functional,Must,Core,Active,"The application must generate only complete configurations valid for the current model, runtime and device.",All approved combinations are generated; all known invalid model/weight/cache/runtime/backend/device combinations are rejected.,Decision-table and registry tests,AC-F-M10,HE-02; HE-05,Not Started,docs/evidence/requirements/F-M10/,
