source_id,category,title,author_or_owner,year,source_type,url,identifier,reliability,status,access_date,used_for,notes
SRC-PAPER-TRANSFORMER-2017,Primary research paper,Attention Is All You Need,Ashish Vaswani et al.,2017,arXiv paper,https://arxiv.org/abs/1706.03762,arXiv:1706.03762,A1,verified,2026-07-14,"Transformer attention, query/key/value concepts and autoregressive inference background",Foundational transformer paper.
SRC-PAPER-KIVI-2024,Primary research paper,KIVI: A Tuning-Free Asymmetric 2bit Quantization for KV Cache,Zirui Liu et al.,2024,arXiv paper,https://arxiv.org/abs/2402.02750,arXiv:2402.02750,A1,verified,2026-07-14,Asymmetric key/value quantisation and per-channel/per-token reasoning,Use the paper for method claims; reproduce results locally before making project claims.
SRC-PAPER-QJL-2024,Primary research paper,QJL: 1-Bit Quantized JL Transform for KV Cache Quantization with Zero Overhead,"Amir Zandieh, Majid Daliri and Insu Han",2024,arXiv paper,https://arxiv.org/abs/2406.03482,arXiv:2406.03482,A1,verified,2026-07-14,"QJL projection, sign information, norms and inner-product estimation","The title phrase zero overhead must be interpreted using the paper, not literally as no metadata or computation."
SRC-PAPER-POLARQUANT-2025,Primary research paper,PolarQuant: Quantizing KV Caches with Polar Transformation,"Insu Han, Praneeth Kacham, Amin Karbasi, Vahab Mirrokni and Amir Zandieh",2025,arXiv paper,https://arxiv.org/abs/2502.02617,arXiv:2502.02617,A1,verified,2026-07-14,"Random preconditioning, polar-coordinate quantisation and MSE-oriented KV-cache compression",Primary source for PolarQuant claims.
SRC-PAPER-TURBOQUANT-2025,Primary research paper,TurboQuant: Online Vector Quantization with Near-optimal Distortion Rate,"Amir Zandieh, Majid Daliri, Majid Hadian and Vahab Mirrokni",2025,arXiv paper,https://arxiv.org/abs/2504.19874,arXiv:2504.19874,A1,verified,2026-07-14,"Formal TurboQuant pipeline, distortion objectives, online quantisation and reported evaluation",Primary source for TurboQuant. Repository forks may implement only part of the paper.
SRC-PAPER-TURBOQUANT-REVISIT-2026,Independent research paper,"Revisiting RaBitQ and TurboQuant: A Symmetric Comparison of Methods, Theory, and Experiments","Jianyang Gao, Yutong Gou, Yuexuan Xu, Jifan Shi, Yongyi Yang, Shuolin Li, Raymond Chi-Wing Wong and Cheng Long",2026,arXiv technical note,https://arxiv.org/abs/2604.19528,arXiv:2604.19528,A1,verified,2026-07-14,Independent caution and reproducibility review of later TurboQuant-related claims,"Use as a critical secondary research check, not as a replacement for the original paper."
SRC-IBM-GRANITE-OVERVIEW-2026,Official IBM documentation,Granite overview,IBM,2026,Official product page,https://www.ibm.com/granite,,A2,verified,2026-07-14,Granite family overview and official model categories,Time-sensitive; check the page again before final submission.
SRC-IBM-GRANITE-41-DOCS-2026,Official IBM documentation,Granite 4.1 language model documentation,IBM,2026,Official technical documentation,https://www.ibm.com/granite/docs/models/granite4-1,,A2,verified,2026-07-14,"Granite 4.1 model sizes, intended use and family information",Official documentation current at access date.
SRC-IBM-GRANITE-41-BLOG-2026,Official IBM technical article,Granite 4.1 LLMs: how they are built,IBM Granite team,2026,Official technical blog,https://huggingface.co/blog/ibm-granite/granite-4-1,,B1,verified,2026-07-14,Granite 4.1 release context and post-training explanation,Official team article; use model cards for exact architecture values.
SRC-IBM-GRANITE-40-DOCS-2025,Official IBM documentation,Granite 4.0 language model documentation,IBM,2025,Official technical documentation,https://www.ibm.com/granite/docs/models/granite,,A2,verified,2026-07-14,Granite 4.0 architecture and family comparison,Included to distinguish Granite 4.0 from Granite 4.1.
SRC-IBM-HF-GRANITE-41-3B-2026,Official model card,ibm-granite/granite-4.1-3b,IBM Granite team,2026,Hugging Face model card,https://huggingface.co/ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-3b,A1,verified,2026-07-14,"Exact 3B architecture, capabilities, context length, licence and limitations",Primary model-specific source.
SRC-IBM-HF-GRANITE-41-8B-2026,Official model card,ibm-granite/granite-4.1-8b,IBM Granite team,2026,Hugging Face model card,https://huggingface.co/ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-8b,A1,verified,2026-07-14,"8B comparison, architecture and model-selection evidence",Primary model-specific source.
SRC-HF-TRANSFORMERS-CACHE,Official library documentation,Transformers caching explanation,Hugging Face,2026,Official documentation,https://huggingface.co/docs/transformers/cache_explanation,,A2,verified,2026-07-14,How KV caches store and reuse keys and values during autoregressive generation,Versioned documentation may change; record package version in experiments.
SRC-OV-GENAI-2026,Official OpenVINO documentation,Generative AI workflow,Intel OpenVINO team,2026,Official documentation,https://docs.openvino.ai/2026/openvino-workflow-generative.html,,A2,verified,2026-07-14,Current OpenVINO generative-AI workflow and pipelines,Use this current page before relying on older 2025 notes.
SRC-OV-IR-2026,Official OpenVINO documentation,OpenVINO IR format,Intel OpenVINO team,2026,Official documentation,https://docs.openvino.ai/2026/documentation/openvino-ir-format.html,,A2,verified,2026-07-14,IR XML/BIN structure and model conversion,Official format reference.
SRC-OV-CORE-2026,Official OpenVINO API documentation,openvino.Core API,Intel OpenVINO team,2026,Official API documentation,https://docs.openvino.ai/2026/api/ie_python_api/_autosummary/openvino.Core.html,,A2,verified,2026-07-14,"Runtime Core, available devices, compilation and plugin registration",Python API reference; equivalent C++ APIs should be checked for C++ implementation.
SRC-OV-HETERO-2026,Official OpenVINO documentation,Heterogeneous execution,Intel OpenVINO team,2026,Official documentation,https://docs.openvino.ai/2026/openvino-workflow/running-inference/inference-devices-and-modes/hetero-execution.html,,A2,verified,2026-07-14,HETERO mode and operation-level device fallback,Use only after checking operation support on the target hardware.
SRC-OV-DEVICES-2026,Official OpenVINO documentation,Supported devices,Intel OpenVINO team,2026,Official documentation,https://docs.openvino.ai/2026/documentation/compatibility-and-support/supported-devices.html,,A2,verified,2026-07-14,"CPU, GPU and NPU support and automatic device modes","Hardware generations, drivers and model operations still require machine-specific checks."
SRC-OV-BENCHMARK-2026,Official OpenVINO documentation,OpenVINO Benchmark Tool,Intel OpenVINO team,2026,Official documentation,https://docs.openvino.ai/2026/get-started/learn-openvino/openvino-samples/benchmark-tool.html,,A2,verified,2026-07-14,Repeatable inference performance measurement,"For LLM end-to-end testing, combine benchmark_app with application-level token metrics."
