Evidence paragraph 01: Granite testing records model route, cache format, memory, latency, and reviewed quality evidence for repeatable local analysis.

Evidence paragraph 02: Granite testing records model route, cache format, memory, latency, and reviewed quality evidence for repeatable local analysis.

Evidence paragraph 03: Granite testing records model route, cache format, memory, latency, and reviewed quality evidence for repeatable local analysis.

Evidence paragraph 04: Granite testing records model route, cache format, memory, latency, and reviewed quality evidence for repeatable local analysis.

Evidence paragraph 05: Granite testing records model route, cache format, memory, latency, and reviewed quality evidence for repeatable local analysis.

Evidence paragraph 06: Granite testing records model route, cache format, memory, latency, and reviewed quality evidence for repeatable local analysis.

Evidence paragraph 07: Granite testing records model route, cache format, memory, latency, and reviewed quality evidence for repeatable local analysis.

Evidence paragraph 08: Granite testing records model route, cache format, memory, latency, and reviewed quality evidence for repeatable local analysis.

Evidence paragraph 09: Granite testing records model route, cache format, memory, latency, and reviewed quality evidence for repeatable local analysis.

Evidence paragraph 10: Granite testing records model route, cache format, memory, latency, and reviewed quality evidence for repeatable local analysis.

Final evidence paragraph: the unique controlled retrieval marker is IXN-TQ-7319.
