claim_id,claim,research_file,source_ids,evidence_class,status,validation_notes
CLM-IBM-001,Granite is a family containing language and other specialised model groups.,02-ibm-granite/01-granite-family.md,SRC-IBM-GRANITE-OVERVIEW-2026; SRC-IBM-GRANITE-41-BLOG-2026,Official documentation,verified,"Use public IBM pages, not the retired SharePoint link."
CLM-IBM-002,"Granite 4.1 language models include 3B, 8B and 30B dense sizes.",02-ibm-granite/02-model-selection.md,SRC-IBM-GRANITE-41-DOCS-2026; SRC-IBM-HF-GRANITE-41-8B-2026,Official documentation/model card,verified,Model availability can change; check before test execution.
CLM-IBM-003,"Granite 4.1 3B is a decoder-only dense transformer with GQA, RoPE, SwiGLU and RMSNorm.",02-ibm-granite/03-granite-4-1-3b.md,SRC-IBM-HF-GRANITE-41-3B-2026,Official model card,verified,Exact model-specific source.
CLM-IBM-004,"The 3B architecture uses 40 layers, 40 attention heads, 8 KV heads and a 131072-token listed sequence length.",02-ibm-granite/03-granite-4-1-3b.md,SRC-IBM-HF-GRANITE-41-3B-2026,Official model card,verified,Do not assume the full listed sequence length is practical on target hardware.
CLM-TR-001,"Self-attention uses query, key and value representations.",02-ibm-granite/04-transformers-and-inference.md,SRC-PAPER-TRANSFORMER-2017,Primary research paper,verified,Foundational concept.
CLM-KV-001,Autoregressive generation can cache previous keys and values to avoid recomputing them for each new token.,03-kv-cache-and-turboquant/01-kv-cache-basics.md,SRC-HF-TRANSFORMERS-CACHE; SRC-PAPER-TRANSFORMER-2017,Official documentation/primary paper,verified,Implementation details depend on runtime.
CLM-KV-002,KV-cache memory grows with sequence length and the number/shape of cached tensors.,03-kv-cache-and-turboquant/01-kv-cache-basics.md,SRC-HF-TRANSFORMERS-CACHE,Official documentation,verified,Use measured bytes for the exact model and runtime.
CLM-KIVI-001,KIVI motivates asymmetric handling of keys and values and uses different quantisation axes.,03-kv-cache-and-turboquant/02-kv-cache-quantisation.md,SRC-PAPER-KIVI-2024,Primary research paper,verified,Use the paper for exact algorithm details.
CLM-PQ-001,PolarQuant uses random preconditioning and a polar-coordinate quantisation design for KV caches.,03-kv-cache-and-turboquant/03-polarquant.md,SRC-PAPER-POLARQUANT-2025,Primary research paper,verified,Repository approximations may differ.
CLM-TQ-001,The formal TurboQuant method and its distortion analysis are defined in arXiv:2504.19874.,03-kv-cache-and-turboquant/04-turboquant-and-qjl.md,SRC-PAPER-TURBOQUANT-2025,Primary research paper,verified,Do not infer full-paper compliance from a repository name.
CLM-QJL-001,QJL stores sign-like projected information and vector norms to estimate query-key inner products.,03-kv-cache-and-turboquant/04-turboquant-and-qjl.md,SRC-PAPER-QJL-2024,Primary research paper,verified,The estimator is not exact for every vector pair.
CLM-TQ-002,Practical TurboQuant repositories implement different subsets or variants of the formal method.,03-kv-cache-and-turboquant/06-implementation-landscape.md,SRC-PAPER-TURBOQUANT-2025; SRC-REPO-AMESIANX; SRC-REPO-ATOMICBOT; SRC-REPO-ANIMEHACKER; SRC-REPO-ATOMICMILKSHAKE; SRC-REPO-BEELLAMA; SRC-REPO-SPIRITBUUN; SRC-REPO-THEPRADIP; SRC-REPO-THETOM; SRC-REPO-TIREDOFEVERYTHING; SRC-REPO-UNIXSYSDEV,Paper plus source-code repositories,verified with limitations,The detailed implementation findings come from preserved internal reviews at recorded commits.
CLM-EVAL-001,"Evaluation should separate quality, latency, throughput, memory and stability instead of using one score.",03-kv-cache-and-turboquant/05-evaluation-plan.md,SRC-BOOK-AI-ENGINEERING-2025; SRC-BOOK-SYSTEMS-ENGINEERING-2020,Engineering methodology,verified,Project test design decision based on the books.
CLM-OV-001,OpenVINO IR normally consists of an XML graph description and a BIN weights file.,04-openvino/02-runtime-ir-and-compilation.md,SRC-OV-IR-2026,Official documentation,verified,Check conversion output and model format version.
CLM-OV-002,OpenVINO Core discovers available devices and compiles models through device plugins.,04-openvino/03-device-plugins-and-selection.md,SRC-OV-CORE-2026,Official API documentation,verified,C++ and Python APIs should be matched to the implementation language.
CLM-OV-003,"OpenVINO supports CPU, GPU and NPU devices subject to hardware, drivers and operation support.",04-openvino/05-cpu-gpu-npu.md,SRC-OV-DEVICES-2026,Official documentation,verified,Presence of a device does not prove the whole model will execute there.
CLM-OV-004,HETERO mode can assign unsupported operations to fallback devices.,04-openvino/04-hetero-mode.md,SRC-OV-HETERO-2026,Official documentation,verified,Inspect actual operation placement and data-transfer cost.
CLM-OV-005,OpenVINO GenAI provides LLM-oriented pipelines on top of OpenVINO Runtime.,04-openvino/01-overview.md,SRC-OV-GENAI-2026; SRC-OV-GENAI-GITHUB,Official documentation/source repository,verified,Pin package version and commit.
CLM-TOOL-001,llama.cpp is the canonical C/C++ GGUF inference baseline used by the practical forks.,05-local-inference-tools/01-llama-cpp.md,SRC-LLAMACPP-GITHUB,Canonical source repository,verified,Pin commit and build flags.
CLM-TOOL-002,"LM Studio can run local models, expose local APIs and operate offline after required model assets are available.",05-local-inference-tools/02-lm-studio.md,SRC-LMSTUDIO-DOCS; SRC-LMSTUDIO-SERVER; SRC-LMSTUDIO-OFFLINE,Official documentation,verified,Confirm version and target-machine behaviour.
CLM-TOOL-003,Ollama exposes a local API and returns generation timing/count fields that can support throughput calculations.,05-local-inference-tools/03-ollama.md,SRC-OLLAMA-API; SRC-OLLAMA-USAGE,Official API documentation,verified,Keep raw JSON evidence.
CLM-REPO-001,The AmesianX repository exists at the recorded public URL.,06-repository-reviews/amesianx-turboquant.md,SRC-REPO-AMESIANX,GitHub repository,verified,Implementation conclusions remain tied to the supplied review commit.
CLM-REPO-002,The AtomicBot repository exists at the recorded public URL.,06-repository-reviews/atomicbot-ai.md,SRC-REPO-ATOMICBOT,GitHub repository,verified,Implementation conclusions remain tied to the supplied review commit.
CLM-REPO-003,The animehacker repository exists at the recorded public URL.,06-repository-reviews/animehacker.md,SRC-REPO-ANIMEHACKER,GitHub repository,verified,Implementation conclusions remain tied to the supplied review commit.
CLM-REPO-004,The atomicmilkshake repository exists at the recorded public URL.,06-repository-reviews/atomicmilkshake.md,SRC-REPO-ATOMICMILKSHAKE,GitHub repository,verified,Implementation conclusions remain tied to the supplied review commit.
CLM-REPO-005,The BeeLlama implementation is publicly available at Anbeeld/beellama.cpp.,06-repository-reviews/beellama.md,SRC-REPO-BEELLAMA,GitHub repository,verified,This fixes the missing URL in the earlier package.
CLM-REPO-006,The spiritbuun repository exists at its canonical/redirected public URL.,06-repository-reviews/spiritbuun.md,SRC-REPO-SPIRITBUUN,GitHub repository,verified,Pin current canonical URL and commit before cloning.
CLM-REPO-007,The thepradip repository exists at the recorded public URL.,06-repository-reviews/thepradip.md,SRC-REPO-THEPRADIP,GitHub repository,verified,README performance values are repository claims until reproduced.
CLM-REPO-008,The TheTom repository exists at the recorded public URL.,06-repository-reviews/thetom.md,SRC-REPO-THETOM,GitHub repository,verified,Fast-moving repository; re-audit before use.
CLM-REPO-009,The TiredOfEverything repository exists at the recorded public URL.,06-repository-reviews/tiredofeverything.md,SRC-REPO-TIREDOFEVERYTHING,GitHub repository,verified,Tie findings to exact commit.
CLM-REPO-010,The unixsysdev repository exists at the recorded public URL.,06-repository-reviews/unixsysdev.md,SRC-REPO-UNIXSYSDEV,GitHub repository,verified,Tie findings to exact commit.
CLM-WIN-001,WinUI 3 is Microsoft’s modern native XAML UI framework delivered through the Windows App SDK.,07-evaluation-and-decisions/03-backend-decision-record.md,SRC-MS-WINUI3-2026; SRC-MS-WINDOWS-APP-SDK-2026,Official Microsoft documentation,verified,Use stable Windows App SDK unless a documented need says otherwise.
CLM-DEC-001,The project keeps GGUF/llama.cpp testing and OpenVINO testing as separate evidence routes.,07-evaluation-and-decisions/03-backend-decision-record.md,SRC-BOOK-SOFTWARE-ARCHITECTURE-2025; SRC-LLAMACPP-GITHUB; SRC-OV-GENAI-2026,Project architecture decision,project decision,Not claimed by the sources; chosen to avoid hiding backend trade-offs.
