WP ID,Phase,Priority,Work Package,Definition of Done,Evidence Output,Status,Progress %,Report Use
PD-01,P0,P0,Freeze first-release definition/RQs,"One aim, measurable RQs, contribution and scope tiers are versioned.",docs/evidence/work-packages/PD-01/README.md,Verified,1,Ch. 1
PD-02,P0,P0,Correct/version controlling workflows,Workflow distinguishes runtime KV-cache modes from exported weight files and separates runtime routes.,Workflow change log,Not Started,0,Ch. 3/5
PD-03,P0,P0,Recover/archive raw evidence and current UI code,"MoSCoW, ModelImportPage and raw campaign evidence are backed up and referenced.",Evidence manifest/checksums,In Progress,0.25,Ch. 4/8 appendices
PD-04,P0,P0,Must-Have RTM and acceptance criteria,"All Must Haves map to workflows, components, tests and evidence.",RTM,In Progress,0.25,Ch. 3
PD-05,P0,P0,Risk/assumption/constraint/licence register,"High risks have validation, mitigation, contingency, owner and status.",docs/evidence/work-packages/PD-05/README.md,Verified,1,Ch. 3/9
PD-06,P0,P0,Architecture views and ADRs,Context/component/process/deployment views and key decisions agree.,Diagrams + ADRs,Not Started,0,Ch. 5
PD-07,P0,P0,Application contracts/states/diagnostics,Stable data/state/error contracts support independent UI and service work.,Schemas/contracts,Not Started,0,Ch. 5/6
PD-08,P0,P0,Repository/test/evidence preparation,Clean build/test and evidence structure exist.,Build log/repo tree,In Progress,0.25,Ch. 3/6/7
PD-09,P0,P1,App-specific evaluation addendum,Remaining experiments map to RQs and frozen evidence schemas.,Evaluation matrix,In Progress,0.25,Ch. 4
PD-10,P0,P1,TurboVec and LLM Fit decision,Both items have explicit Implement/Defer decisions.,Scope ADR,In Progress,0.25,Ch. 1/3/9
IM-01,P1,P0,Finish existing ModelImportPage layout/navigation,Page launches and matches the core import workflow.,Screenshots/commit,In Progress,0.25,Ch. 6
IM-02,P1,P0,ViewModel + file/folder picker,Real file/folder selection produces a testable state object.,Tests/screenshots,Not Started,0,Ch. 6/7
IM-03,P1,P0,"Drag/drop, validation, progress/cancel",Input edge cases and cancellation recover safely.,Failure tests,Not Started,0,Ch. 6/7
IM-04,P1,P0,Format detector and GGUF header validation,Valid/corrupt GGUF recognition is deterministic.,Fixtures/tests,Not Started,0,Ch. 6/7
IM-05,P1,P0,Real GGUF metadata inspector,Real Granite metadata populates ModelDescriptor.,Metadata JSON/model hash,Not Started,0,Ch. 6
IM-06,P1,P0,Other-format recognition and classification,OpenVINO/HF and canonical result states are safe and explicit.,Classification matrix,Not Started,0,Ch. 6/7
IM-07,P1,P0,"Result screens, diagnostics and inspection demo",Import/inspection slice passes tests and demo.,Demo/test report,Not Started,0,Ch. 5–7
HE-01,P2,P0,Hardware snapshot service,RAM/CPU/OS/disk snapshot is serialisable and testable.,Hardware manifest,Not Started,0,Ch. 6
HE-02,P2,P0,Backend/device capability registry,Installed/supported/experimental routes are distinct.,Capability matrix,Not Started,0,Ch. 5/6
HE-03,P2,P0,Memory estimator core,Transparent component estimate with uncertainty and safety reserve.,Formula/tests,Not Started,0,Ch. 4/6
HE-04,P2,P0,Estimator calibration from existing evidence,Prediction error/margins are quantified for matched tested cases.,Dataset/plot/ADR,Not Started,0,Ch. 8
HE-05,P2,P0,Candidate generator,Only complete supported candidates survive.,Matrix/property tests,Not Started,0,Ch. 5/6
HE-06,P2,P0,Mode selector algorithms,Four deterministic objectives pass boundary tests.,Algorithm/test matrix,Not Started,0,Ch. 5/6/8
HE-07,P2,P0,Fit/not-fit compatibility UI,UI shows only verified configurations and transparent memory reasoning.,Screenshots/E2E,Not Started,0,Ch. 6/7
HE-08,P2,P0,Import-to-mode E2E stabilisation,Vertical slice passes twice and gate is approved.,E2E/demo,Not Started,0,Ch. 7
RT-01,P3,P0,Upstream llama.cpp adapter contract,Pinned executable/model command contract works independently.,Manifest/smoke log,Not Started,0,Ch. 4/6
RT-02,P3,P0,Secure single-turn inference,App returns one valid local response without a network port.,Logs/tests,Not Started,0,Ch. 6/7
RT-03,P3,P0,Streaming chat and cancellation,Streaming/stop/retry work and clean up resources.,Recording/tests,Not Started,0,Ch. 6/7
RT-04,P3,P1,Session/context/metrics,"Second turn, bounded history and metrics are correct.",Metrics/context tests,Not Started,0,Ch. 6/8
RT-05,P3,P0,Primary runtime hardening,Primary GGUF route passes failure/offline E2E gate.,E2E report,Not Started,0,Ch. 7
QX-01,P4,P1,Standard GGUF weight quantisation,One suitable source produces a smaller validated GGUF safely.,Hashes/commands/results,Not Started,0,Ch. 6/8
QX-02,P4,P1,"Reinspection, manifest and export",Output is registered/exported and original preserved.,Manifest/export test,Not Started,0,Ch. 6/7
QX-03,P4,P1,AtomicBot Experimental adapter,App proves real turbo3 activation and actual backend for a bounded configuration.,Activation/metrics evidence,Not Started,0,Ch. 6/8
QX-04,P4,P0,TurboQuant product gate/fallback,Experimental option is included only if evidence passes; upstream fallback works.,Gate ADR,Not Started,0,Ch. 8/9
OV-01,P5,P1,Official OpenVINO baseline,One official Granite IR CPU run passes or blocker is reproducible.,OpenVINO workbook/logs,Partially Verified,0.8,Ch. 4/8
OV-02,P5,P1,Official OpenVINO app adapter,One IR follows common app states with actual device evidence.,Contract/E2E evidence,Not Started,0,Ch. 5–8
OV-03,P5,P1,OpenVINO/custom-TQ decision gate,Final UI scope matches verified OpenVINO capability; custom TQ is honestly kept/deferred.,Gate ADR/workbook,Not Started,0,Ch. 8/9
FR-01,P6,P0,Full regression and requirements acceptance,Must Haves have pass evidence or explicit incomplete status.,Test reports/RTM,Not Started,0,Ch. 7
FR-02,P6,P0,Security/offline/UX/accessibility,No critical unresolved issue; residual issues are recorded.,Checklists/issues,Not Started,0,Ch. 7/9
FR-03,P6,P0,Final app-integrated evaluation,Frozen raw dataset and cross-route comparison are complete.,Raw data/figures,Not Started,0,Ch. 8
FR-04,P6,P0,Clean build/package/manuals/demo,Clean build/install and demo pass twice.,Package/manuals/video,Not Started,0,Ch. 6/appendix
FR-05,P6,P0,Release freeze/evidence audit,"Tag, backups, final status and evidence pack complete.",Release pack,Not Started,0,Ch. 9/appendix
DL-01,P1,P0,Freeze approved model catalogue/source/licence/hash manifest,"At least one model has approved source, licence, revision, expected size, SHA-256 and destination policy.",Approved model manifest,Not Started,0,Ch. 3/6
DL-02,P1,P0,Implement model download/progress/cancel/disk/hash service,"Approved model downloads safely; partials cannot pass; progress, cancellation, disk and SHA-256 checks work.",Download tests/logs,Not Started,0,Ch. 6
DL-03,P1,P0,Download-to-inspection end-to-end and failure tests,Verified download enters inspection; interrupted/corrupt/low-disk cases are handled and evidenced.,E2E evidence,Not Started,0,Ch. 6/7
TV-01,P0,P0,Identify and pin exact TurboVec implementation and contract,Repository/version/licence/platform/input/output/vector/retrieval contract and go/no-go are recorded.,TurboVec ADR/contract,In Progress,0.25,Ch. 3/5
TV-02,P4,P0,"Knowledge-file import, text extraction, chunking and embedding baseline","One supported file is preserved, extracted, chunked and embedded into a versioned uncompressed baseline.",Baseline artefacts/tests,Not Started,0,Ch. 6/8
TV-03,P4,P0,TurboVec vector compression/index/retrieval integration,"Compressed/optimised vectors are produced, indexed and queried with exact versions and evidence.",TurboVec adapter/results,Not Started,0,Ch. 6/8
TV-04,P4,P0,Granite retrieval-chat integration and matched TurboVec evaluation,Retrieved sections feed Granite chat and compressed/uncompressed routes are compared on fixed queries.,EXP-TV-COMP-001,Not Started,0,Ch. 8/9
