case_id,model,weight_precision,cache_codec,key_cache_algorithm,value_cache_algorithm,key_cache_precision,value_cache_precision,status,executed,failure_stage,failure_reason,model_path,model_sha256,model_size_bytes,context_tokens,max_new_tokens,load_ms,ttft_ms,prompt_tps,tpot_ms,decode_tps,generation_duration_ms,peak_working_set_mb,peak_private_mb,available_ram_min_mb,kv_mb,quality_score,quality_prompt_count,raw_result_path,raw_result_sha256,openvino_url,openvino_commit,openvino_genai_url,openvino_genai_commit,turboquant_merge_commit
granite-3b__int4__tbq3,granite-3b,int4,tbq3,TURBO,TURBO,u3,u3,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,24,32,1576.0,4413.813965,,56.333225,17.751513,6160.597168,3635.527,1912.824,6208.109,,5.4167,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-3b__int4__tbq3.json,ae0e0a006214b4a923d5d331c5cb1f345a41882723cb86b3a47fd96859ee28ba,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__int8__tbq3,granite-3b,int8,tbq3,TURBO,TURBO,u3,u3,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,24,32,2180.0,1393.526489,,115.128433,8.685952,4963.040039,6639.434,3421.562,3301.117,,5.4792,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-3b__int8__tbq3.json,d1182d20b03f88751d6470c6d83cfce63b6e888ba96de4423cf38e8319fe8365,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__fp16__tbq3,granite-3b,fp16,tbq3,TURBO,TURBO,u3,u3,conversion_failed,false,model_conversion,emergency_ram_floor_reached,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__int4__u4,granite-3b,int4,u4,SCALAR,SCALAR,u4,u4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,24,32,1585.0,5474.520508,,60.591393,16.503994,7353.332031,3634.691,1911.051,6330.973,,5.5208,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-3b__int4__u4.json,b5b05787f6d3c59f9df0d7fde1c8d8e929cd1911a6495fdea9f18503de553026,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__int8__u4,granite-3b,int8,u4,SCALAR,SCALAR,u4,u4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,24,32,1796.0,961.838562,,97.98436,10.20571,3999.842041,6641.211,3423.637,3370.949,,5.7917,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-3b__int8__u4.json,5e6c30146b19de5cb7073d27842ac2cefd9c8f1ed6cd5990e53f1ab7dd38e82e,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__fp16__u4,granite-3b,fp16,u4,SCALAR,SCALAR,u4,u4,conversion_failed,false,model_conversion,emergency_ram_floor_reached,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__int4__tbq4,granite-3b,int4,tbq4,TURBO,TURBO,u4,u4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,24,32,1757.0,5580.098633,,60.97002,16.401503,7470.804199,3634.789,1911.535,6368.375,,5.8542,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-3b__int4__tbq4.json,0ec7e2a0bdff09cffc190180a4c1c92020a17cf726ebfb5f71e1a77940926155,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__int8__tbq4,granite-3b,int8,tbq4,TURBO,TURBO,u4,u4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,24,32,1976.0,1138.158569,,98.231209,10.180064,4183.798828,6640.996,3424.113,3346.164,,5.5208,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-3b__int8__tbq4.json,5d616388e7408148e4789e3d833dff2f799681046f7632fd50ca57bf098faadc,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__fp16__tbq4,granite-3b,fp16,tbq4,TURBO,TURBO,u4,u4,conversion_failed,false,model_conversion,emergency_ram_floor_reached,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__int4__u8,granite-3b,int4,u8,SCALAR,SCALAR,u8,u8,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,24,32,1554.0,5461.910156,,60.816833,16.442816,7347.733887,3636.484,1915.043,6337.312,,5.7708,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-3b__int4__u8.json,1030c70041d28ae6a6781f18dba6d25652ff29c70d5addf2ce3f5de7086428ea,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__int8__u8,granite-3b,int8,u8,SCALAR,SCALAR,u8,u8,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,24,32,1877.0,1007.126221,,98.904427,10.110771,4073.655029,6643.984,3426.707,3298.551,,5.7708,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-3b__int8__u8.json,d0adcd32063d68834f2e56562ede3234ec3324d5376335827e6a53bb8c847341,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__fp16__u8,granite-3b,fp16,u8,SCALAR,SCALAR,u8,u8,conversion_failed,false,model_conversion,emergency_ram_floor_reached,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
